,finalrank,ss_fairness,UtilEgypt,UtilSudan,UtilEthiopia,policy name
0,1,0.14196774082433958,5.319040129116613,0.6544565162585885,0.7084248836353971,304
1,2,0.21898505861426304,5.37943741157294,0.6228794136517006,0.6796047037859572,479
2,3,0.22172094986293323,5.378969915527708,0.6216201486753911,0.6813314648074977,386
3,4,0.22802984827147607,5.382732218269569,0.6220005158472184,0.6771887948938101,378
4,5,0.23727172589504542,5.385327819902639,0.620598338940188,0.6759953701677696,396
5,6,0.24468710486423315,5.3875441007489,0.619634043510984,0.6747433847507129,472
6,7,0.24646205723230682,5.386106802504776,0.6176969359111256,0.6781177905946961,356
7,8,0.24671742747241598,5.3881698555029205,0.6193967942248152,0.6743548792828625,424
8,9,0.2610220680676365,5.392122773265648,0.6173472600957419,0.6724514956492073,178
9,10,0.2616779629402405,5.391455267427312,0.6163757935735019,0.6740904680097839,401
10,11,0.2792582207987275,5.397340730634883,0.6151009973916934,0.6694798009840228,282
11,12,0.28622548010419036,5.398970445688089,0.6138299301618737,0.6691211531606356,415
12,13,0.2871569793841804,5.399190886593392,0.6136633704981433,0.669067271919063,225
13,14,0.2890722656179322,5.39912304953312,0.6126746746620659,0.6701238048154124,342
14,15,0.28980394267087844,5.3993328680101325,0.6125872712440557,0.6700013897564098,475
15,16,0.2988901431002379,5.4022876755222,0.6119935556670231,0.6676402978213752,515
16,17,0.3058490771611195,5.404715032758771,0.6118786289804382,0.6653278672713894,332
17,18,0.3126687942169006,5.41237880835911,0.6300659542206848,0.6394767664308038,203
18,19,0.3511779399557243,5.416079463175887,0.6050312207245909,0.6608108451101209,394
19,20,0.35648376478673405,5.2547534295015135,0.6871870362153142,0.7399810632937709,246
20,21,0.38805777828940474,5.430783910512815,0.6269967480843994,0.6241408704133837,157
21,22,0.42512593992402076,5.436474812899546,0.5988940014585566,0.646552714652494,462
22,23,0.49923746657108103,5.457810215746748,0.6074103517853553,0.6167009614784955,301
23,24,0.5813777777501979,5.47778855586421,0.5970252184820322,0.6071077546643554,114
24,25,0.5987637879033778,5.481638594621808,0.5890789894919339,0.6112039448968566,23
25,26,0.6369759826338576,5.491380422587979,0.595261206471222,0.5952798999513963,8
26,27,0.6538863044618437,5.181662724476683,0.7171362625628778,0.7831225419710368,389
27,28,0.6623710090980203,5.496956704754198,0.5792391356663057,0.605725688590094,39
28,29,0.6782867812786622,5.501281008244921,0.5953680123023601,0.585272508463317,5
29,30,0.720919393714808,5.511777055576111,0.581115690155123,0.5890287832793645,3
30,31,0.7472175489356909,5.517932215622121,0.572235236737688,0.5917540766507884,72
31,32,0.7511760126150018,5.518651463723181,0.5923839776321839,0.5708860876552339,249
32,33,0.7570145992707166,5.520128624300767,0.5910171584886986,0.5707757462211323,156
33,34,0.757765146058354,5.520752615884963,0.5771996769207342,0.5839692362049012,15
34,35,0.7621941830731538,5.521834001743903,0.5769088497452793,0.5831786775214163,159
35,36,0.7624246900296746,5.521904258391528,0.5786817562651873,0.5813355143538823,120
36,37,0.7990990713651043,5.530803061476815,0.5770232505844813,0.5740952169493014,24
37,38,0.8155260808867589,5.534631638044073,0.5649681308826461,0.5823217600838786,117
38,39,0.8414994257393489,5.540989932747473,0.5625104212810812,0.5784211749820448,85
39,40,0.8656121181615795,5.5469633655135855,0.5700614816101549,0.5648966818868579,163
40,41,0.8686625548742594,5.5467956745719125,0.5490556231766577,0.5860702312620286,277
41,42,0.8732429151810062,5.548599821829788,0.5563549576454294,0.5769667495353811,205
42,43,0.8965220267999238,5.554446103141254,0.5574588041891387,0.5700166216802047,360
43,44,0.9032719959290353,5.555977729987413,0.5697685079640614,0.5561752910591243,7
44,45,0.907953382642534,5.557279973460266,0.5581448740359201,0.5664966815144129,366
45,46,0.9340103387064147,5.563198278303906,0.5705790398544431,0.5481442108522492,149
46,47,0.9411653735936842,5.564497323364783,0.5401047060246893,0.577319499621126,241
47,48,0.9469639706531672,5.566334259425604,0.5439998922873559,0.5715873772976389,555
48,49,0.9568526308996755,5.568021522738487,0.5355184457206501,0.5783815605514608,446
49,50,0.9719870308637274,5.568862138463789,0.5930047969922276,0.520054593554582,501
50,51,1.0012164308817775,5.579596632451671,0.5621011392910908,0.5402237572678361,96
51,52,1.002737278190378,5.580366278924672,0.5496778113145008,0.551877438771424,358
52,53,1.0034215369104118,5.58040530942492,0.5427877700233618,0.5587284495623155,409
53,54,1.0041966458343154,5.580688354801218,0.5460013544399297,0.5552318197694495,407
54,55,1.0189393160462819,5.583514248943723,0.5308995515600987,0.5675077285067767,200
55,56,1.0229552339092216,5.585018320369062,0.5373404717376955,0.5595627369038414,58
56,57,1.0246419879952093,5.585673042175328,0.5498582708058983,0.5463902160293725,477
57,58,1.025423078288127,5.585742106577937,0.539634210514703,0.5565452119179586,190
58,59,1.0323792612115863,5.587574938531347,0.5450663808027997,0.5492802096764514,305
59,60,1.0415171955431122,5.589798903961656,0.5456862034586778,0.5464364215902656,183
60,61,1.0606312078249989,5.594416892667739,0.539011300984971,0.548493335357887,287
61,62,1.0659116807315159,5.595215140436807,0.5280001622718596,0.558706226301932,242
62,63,1.0731448479503936,5.597416426618488,0.5355783116829471,0.5489267907091635,439
63,64,1.078097929042925,5.598677755371679,0.5434131206340195,0.5398306530048994,551
64,65,1.0870525137033635,5.600876688715718,0.5401092475729095,0.5409355927219717,476
65,66,1.0913806729777304,5.601897345329264,0.5425301347589938,0.5374940489223395,158
66,67,1.093470717633945,5.602318694124,0.5317217375302554,0.5478810973563432,397
