,finalrank,total_pd,UtilEgypt,UtilSudan,UtilEthiopia,policy name
0,1,-0.18140525688261044,5.568862138463789,0.5930047969922276,0.520054593554582,501
1,2,-0.13363342676869072,5.682755723275465,0.5555810432169879,0.4435847625181455,308
2,3,-0.16600192700536298,5.60929531584677,0.570643458948438,0.5019827542153905,192
3,4,-0.1669720997750338,5.6067668363589,0.5706457889395675,0.504508903712131,548
4,5,-0.13566712710154194,5.67913766013224,0.552419786362683,0.450364082515675,418
5,6,-0.13494495488280545,5.680716308796049,0.5512915829434963,0.4499136372710535,169
6,7,-0.13984968686159374,5.670551962252184,0.5519342952195907,0.4594352715388235,145
7,8,-0.13721616742105555,5.676101981152197,0.5511818636959767,0.4546376841624244,37
8,9,-0.1447782606231058,5.659892682219556,0.550555903002029,0.4714729437890134,170
9,10,-0.14321651735440608,5.663387987856075,0.5474918088761263,0.471041732278397,194
10,11,-0.12675296058823413,5.697638464316992,0.5441106370006118,0.4401724276929948,453
11,12,-0.12637872419873497,5.6983993314111805,0.5437532945052793,0.4397689030941377,449
12,13,-0.11001697742076355,5.727253513491597,0.5442538420566444,0.4104141734623564,478
13,14,-0.12571890819712817,5.699769877769505,0.5428667777288858,0.4392848735122086,340
14,15,-0.124569455815518,5.701987941674325,0.5425749514236543,0.4373586359126185,18
15,16,-0.12182104436069474,5.707216399597504,0.5418634806696733,0.4328416487434195,130
16,17,-0.1211231182687001,5.7085370186041535,0.5416190975794172,0.431765412827027,167
17,18,-0.12012206224205817,5.710546844026412,0.540456908996632,0.4309177759875542,546
18,19,-0.12354259266397434,5.70425324890204,0.5400096894917212,0.4376585906168367,44
19,20,-0.12009430112479835,5.710684409767837,0.5398813758919493,0.4313557433508109,428
20,21,-0.12276850349852127,5.705838529976588,0.5389836439665598,0.43709935506745,62
21,22,-0.11749813561238116,5.715605823152469,0.5384948514839786,0.4278208543741506,485
22,23,-0.11585695742214275,5.7185841039482215,0.538190893895207,0.4251465311671704,296
23,24,-0.12498657963556108,5.701786659835927,0.537126207981646,0.4430086611930253,486
24,25,-0.11667324245327708,5.717371079320361,0.5366811953708017,0.4278692543194346,512
25,26,-0.11193044443905871,5.7262254221706215,0.5337946676645066,0.4219014391754695,131
26,27,-0.11817266075472106,5.715161869481031,0.5326683747026576,0.4340912848269085,211
27,28,-0.182030573114873,5.563198278303906,0.5705790398544431,0.5481442108522492,149
28,29,-0.11141275570080149,5.727252603478899,0.5330424983304393,0.4216264272012601,538
29,30,-0.17599540752401086,5.579596632451671,0.5621011392910908,0.5402237572678361,96
30,31,-0.12388540249388229,5.704360268416677,0.5307963321043382,0.4467649284895845,311
31,32,-0.19728224903255395,5.518651463723181,0.5923839776321839,0.5708860876552339,249
32,33,-0.11742748153347504,5.716893038729987,0.5292429950843451,0.4357854951962664,232
33,34,-0.11217210306887504,5.726474462809287,0.5293403337799554,0.426106732421356,281
34,35,-0.19674099336261772,5.520128624300767,0.5910171584886986,0.5707757462211323,156
35,36,-0.11088355543588284,5.728760616617666,0.5292988819475681,0.4238620304453638,160
36,37,-0.11052361253586203,5.729395442432929,0.529281174021244,0.4232449125564247,285
37,38,-0.11403363679636103,5.723227739323483,0.5285103306867575,0.4301834590003573,255
38,39,-0.11099626479639446,5.728663337727387,0.52857811958153,0.4246800717016811,417
39,40,-0.18416834937087842,5.555977729987413,0.5697685079640614,0.5561752910591243,7
40,41,-0.13185119328398667,5.687766228596784,0.527519665949626,0.4666356344641885,25
41,42,-0.11622286769849381,5.719412956986351,0.5260418687756219,0.4364667032486245,64
42,43,-0.13875810866353935,5.672300637650953,0.5288971957537628,0.4807236956058813,102
43,44,-0.12470071837209407,5.702806399656331,0.5254682948802494,0.4536468344740179,93
44,45,-0.1225615714026197,5.707145441919742,0.5242506093632253,0.45052547772763,230
45,46,-0.1191674044189552,5.713897791036012,0.5234063666182976,0.4446173713562896,180
46,47,-0.10636759952488657,5.737284903662708,0.5247153293355783,0.4199212960123123,284
47,48,-0.10898978236587387,5.732879661894586,0.5233046688539895,0.425737198262023,525
48,49,-0.1117987115131414,5.72785859755289,0.5229132781159951,0.4311496533417133,125
49,50,-0.18687105926318295,5.5469633655135855,0.5700614816101549,0.5648966818868579,163
50,51,-0.15068197662650992,5.643170234935149,0.5315448519460706,0.5072064421293784,253
51,52,-0.16564943148303327,5.604843295828946,0.5434931221419963,0.5335851110396557,371
52,53,-0.15745246106948482,5.625947960901594,0.5357548130860684,0.5202187550229349,10
53,54,-0.09254713525220033,5.759357596310842,0.5261020420634633,0.3964618906362918,68
54,55,-0.16250017764829314,5.612864249980066,0.5398796721657685,0.5291776068647629,172
55,56,-0.1607262689974048,5.617427101390882,0.5381754927566668,0.5263189348630503,252
56,57,-0.14934836558012773,5.6461963667801225,0.5297292237930845,0.5059959384373899,455
57,58,-0.172673392371434,5.585673042175328,0.5498582708058983,0.5463902160293725,477
58,59,-0.15516760066409244,5.63149932695992,0.5331900966946332,0.5172321053560455,0
59,60,-0.202325492496919,5.501281008244921,0.5953680123023601,0.585272508463317,5
