,egypt_irr,egypt_90,egypt_low_had,sudan_irr,ethiopia_hydro,EgyptIncome,SudanIncome,EthiopiaUtility,policy_name,total gains,ss_pi_Egypt,ss_pi_Sudan,ss_pi_Ethiopia,ss_fairness,dif_Egypt,dif_Sudan,dif_Ethiopia,totaldist,pd_egypt,pd_sudan,pd_ethiopia,avg_pd,rank_totaldist,rank_PI,rank_PD
0,5.583527933343692,1.0798088999221729,0.5416666666666666,0.0276083274165876,14.41896230231922,5.63149932695992,0.5331900966946332,0.5172321053560455,0,0.6320454220105991,0.8001879917918923,0.11433416520090131,0.08908599349858312,1.2060402998247854,0.18717867304007996,-0.07047709669463326,-0.11670210535604547,0.23156480344405403,0.02210845918848592,-0.14080737275514543,-0.3468038884256178,-0.15516760066409244,425,118,117
1,4.889959087980756,1.3557172985081378,0.2458333333333333,0.0,14.473706657197642,5.696287294051839,0.5001057154154873,0.4855285195432722,1,0.6320454220105983,0.9026932308707898,0.061989222690438724,0.03892569693014822,1.4712126430338304,0.12239070594816148,-0.03739271541548733,-0.0849985195432722,0.1536308835917472,0.010483285492028704,-0.0839676774751511,-0.30415210147116967,-0.1258788311514307,225,317,314
2,4.668365273383261,1.2373201761900108,0.2958333333333333,0.0,14.373275911038858,5.7068973632035895,0.496419035474642,0.4786051303323669,2,0.6320454220105985,0.9194801084942349,0.05615628756827988,0.027971754428861958,1.5148513590432477,0.1117806367964107,-0.033706035474642015,-0.0780751303323669,0.14045189057625743,0.008604629393377472,-0.07716471919336532,-0.29408612948762647,-0.12088207309587144,196,350,356
3,8.227110771808814,2.286886884451752,0.0125,0.0677832598823299,15.000932800388252,5.511777055576111,0.581115690155123,0.5890287832793645,3,0.6320454220105987,0.6107676317757396,0.19016035077477,0.20268016794086727,0.7153353316873581,0.30690094442388904,-0.118402690155123,-0.18849878327936448,0.3791295003320711,0.04430985541710397,-0.2116664413626289,-0.42642191758604986,-0.19792616784385827,519,30,39
4,5.078873875712558,0.8631571654983986,0.5708333333333333,0.0086849735442589,13.695217604362156,5.679181698625734,0.522397446260146,0.4803423841247177,4,0.6320454220105977,0.8756293604108321,0.09725841390417542,0.03072037617636935,1.40427335245089,0.13949630137426627,-0.05968444626014596,-0.0798123841247177,0.17143940002855781,0.013526843381830078,-0.12305658597751501,-0.29663920743608885,-0.13538965001059125,267,261,238
5,8.585692909643248,1.985571555781037,0.0,0.0266906384000601,14.613233378804726,5.501281008244921,0.5953680123023601,0.585272508463317,5,0.632045422010598,0.5941611554598428,0.2127098727725708,0.1967371222589632,0.6725246192978267,0.3173969917550794,-0.13265501230236015,-0.18474250846331702,0.3904715061274408,0.04630232329039741,-0.23053810326755453,-0.4227406975135999,-0.202325492496919,520,29,37
6,4.874113862778327,0.3932313410496869,0.4875,0.1241143732014541,10.950898456012116,5.785759333711898,0.5137144799414881,0.3824477153572114,6,0.6320454220105973,1.0442527399570842,0.0835205304921946,-0.12416511995790203,1.8633063231410476,0.03291866628810247,-0.051001479941488126,0.018082284642788604,0.06333844459972393,-0.005143012696452343,-0.10823420813020712,-0.11660081513510978,-0.07665934532058975,74,492,495
7,7.719424154329209,1.857032701383084,0.0,0.0052881934857062,14.544265836005014,5.555977729987413,0.5697685079640614,0.5561752910591243,7,0.6320454220105989,0.680700381657378,0.172207238868722,0.15070052996527686,0.8967042686869399,0.2627002700125871,-0.10705550796406144,-0.15564529105912434,0.3235703482691344,0.03600183077282426,-0.1959664432192595,-0.3925404356662,-0.18416834937087842,504,44,51
8,8.68599369654643,1.7740650943695158,0.0,0.072015808450663,14.793102411236935,5.491380422587979,0.595261206471222,0.5952798999513963,8,0.6320454220105975,0.5784967976270677,0.2125408883492706,0.21257046451503853,0.6315498889986076,0.32729757741202103,-0.13254820647122206,-0.1947498999513963,0.40326201748936696,0.04818873526291023,-0.23040004115882617,-0.43244514046655136,-0.20488548212082244,522,26,36
9,4.801498175953446,1.3450171531656334,0.25,0.0,14.428462131072704,5.702053132647937,0.4979469343567833,0.4819214620058781,9,0.6320454220105988,0.9118157375693693,0.058573675352342716,0.03321873756966474,1.4949049173429674,0.1166248673520629,-0.03523393435678329,-0.0813914620058781,0.14651743890267355,0.009461498533425594,-0.07999634420530832,-0.2989438598692681,-0.12315956851371694,218,329,336
10,6.450260966169525,1.5720828128489623,0.0625,0.0,14.475939630030052,5.625947960901594,0.5357548130860684,0.5202187550229349,10,0.6320454220105973,0.7914048159867966,0.11839196912150686,0.09381136538307328,1.183282927830649,0.19273003909840636,-0.07304181308606844,-0.11968875502293491,0.23833877676264417,0.023117017790111882,-0.144920421038934,-0.35055397995963233,-0.15745246106948482,435,105,99
11,6.549202580678246,1.676454925373015,0.0708333333333333,0.1107273844880154,15.024210541547314,5.60813798456941,0.5315986044167331,0.542184940024455,11,0.6320454220105984,0.7632264988722934,0.11181616218643861,0.12856548943264468,1.1100485669983735,0.2105400154305901,-0.06888560441673314,-0.14165494002445506,0.2629419073230886,0.026366169277117546,-0.13823513418994227,-0.37686576099889213,-0.16291157530390563,475,71,82
12,6.438471367631649,1.753847475997567,0.0416666666666666,0.1822996864154926,14.953514148059272,5.623101905567868,0.5233907088542467,0.5354289145884837,12,0.6320454220105984,0.7869018875031549,0.09882991898832107,0.11787634399990073,1.1714015229777706,0.1955760944321323,-0.06067770885424667,-0.13489891458848374,0.245213193409894,0.023634854332007738,-0.12472080178332923,-0.3690030724999871,-0.15669633998376953,449,95,106
