,egypt_irr,egypt_90,egypt_low_had,sudan_irr,sudan_90,ethiopia_hydro,egy_all,sud_all,eth_all,efficiency,pol_efficiency,policy_name,totdis5_2,rank5_td2,totdis5_4,rank5_td4,totdis5_6,rank5_td6,totdis6_1,rank6_td1,totdis6_3,rank6_td3,totdis6_5,rank6_td5,totdis7_1,rank7_td1,totdis7_2,rank7_td2,totdis7_4,rank7_td4,totdis8_1,rank8_td1,totdis8_2,rank8_td2,totdis8_3,rank8_td3,totdis9_1,rank9_td1,totdis9_2,rank9_td2
468,3.845342220912245,1.1019644904922037,0.1875,0.1240409795643163,0.0,11.231227316010717,5.667619553009904,0.4560857120876836,0.3482336622593021,0.9685744501891655,0.9685744501891655,468,0.5233951007202854,350.0,0.629431498903874,466.0,0.7631144610439072,495.0,0.5725409092096542,357.0,0.6588439108611076,468.0,0.7773385473030002,497.0,0.6725932887136915,451.0,0.6419964493971025,436.0,0.8013398254110705,501.0,0.6725932887136915,451.0,0.6419964493971025,436.0,0.834275599330731,502.0,0.85507843880733,495.0,0.8751389940168401,504.0
469,6.47943121378151,1.6792796036573865,0.0625,0.57017202529151,0.0471714437503209,15.059989823532336,4.844859506185615,0.4346021637558544,0.4669476685206362,0.8599934776943079,0.8599934776943079,469,0.6247968314186634,428.0,0.5568068727927317,420.0,0.5418623792830733,301.0,0.6530902057261173,424.0,0.5746327964418475,414.0,0.5457142124546485,290.0,0.6216921875142823,414.0,0.6124518925400163,419.0,0.5638902445163337,275.0,0.6216921875142823,414.0,0.6124518925400163,419.0,0.5950799062591297,266.0,0.6450796853290848,272.0,0.637377227637907,254.0
470,4.545321391186463,1.2547921187253095,0.2375,0.0,0.0,14.167408632916462,5.389304946562771,0.4622430308354814,0.4392724369429764,0.9414686993265156,0.9414686993265156,470,0.3457107397732256,14.0,0.4121132321774999,153.0,0.5329885485167193,288.0,0.4033026088410601,26.0,0.4438453852893774,162.0,0.5433769083002248,283.0,0.4740239028502238,116.0,0.44364360268906455,96.0,0.5678195735078835,282.0,0.4740239028502238,116.0,0.44364360268906455,96.0,0.6046151363161744,283.0,0.6371434183734497,254.0,0.6516760830910016,281.0
471,4.281129441736029,0.760100092375932,0.4291666666666666,0.0845744190460899,0.0,11.113794643517748,5.37657013526657,0.4580358927101176,0.3445925633428171,0.9247636520329785,0.9247636520329785,471,0.4396376037717396,239.0,0.49137220968026335,315.0,0.5945840216732928,405.0,0.4978498423385245,252.0,0.5291925219224094,334.0,0.6133094561023067,411.0,0.5646897198738543,316.0,0.5345743561332542,301.0,0.6440074301397221,415.0,0.5646897198738543,316.0,0.5345743561332542,301.0,0.6850712543746741,426.0,0.7219658326101442,419.0,0.7347665717706247,431.0
472,10.337564960553,3.0450170091223323,0.1041666666666666,0.664601646717076,0.0955280215446181,15.108217256825377,3.740321701616445,0.4301831440567358,0.4684430007086919,0.6942535166351645,0.6942535166351645,472,1.6701013955409316,540.0,1.559092506683712,540.0,1.461580773580286,540.0,1.6806751280325052,540.0,1.5653085245952758,540.0,1.4627576313491493,540.0,1.606365273288441,540.0,1.611629096447593,540.0,1.469380982884464,540.0,1.606365273288441,540.0,1.611629096447593,540.0,1.481377982357352,540.0,1.5218943731136325,540.0,1.4986202730804632,540.0
473,3.759522915603181,0.7669983937110068,0.2875,0.0904757174293744,0.0,10.79331540568227,5.643695681903012,0.4577437624491044,0.3346558346550784,0.9632101780007601,0.9632101780007601,473,0.5218710201756198,347.0,0.6229954445933003,463.0,0.7535352489700404,493.0,0.5728318748394676,358.0,0.654171670945725,466.0,0.7691897524296483,493.0,0.6706406441824594,449.0,0.6397427843257388,435.0,0.7946503072241091,499.0,0.6706406441824594,449.0,0.6397427843257388,435.0,0.829014678973668,500.0,0.8518651730585484,494.0,0.8712312223565669,502.0
474,4.036369330508792,0.5553675627513807,0.35,0.1241162065000129,0.0,10.692991439938709,5.50822316265426,0.4560820027542299,0.3315452056009006,0.9422214702610103,0.9422214702610103,474,0.4710242514417282,301.0,0.5511875979892612,415.0,0.6705742161782667,481.0,0.5271021533287253,317.0,0.5863515789697494,424.0,0.6882517234132067,483.0,0.6122666855812936,403.0,0.5811191203675038,387.0,0.7167215770351882,484.0,0.6122666855812936,403.0,0.5811191203675038,387.0,0.7547643325873048,486.0,0.7846026544856455,484.0,0.8010186431159324,488.0
475,9.52113260939997,2.760095731290363,0.4083333333333333,0.6910003569441552,0.1608237171757896,15.13130850297858,3.7808062112896894,0.4289555426002273,0.4691589642439147,0.7002357582345067,0.7002357582345067,475,1.6303431460135236,532.0,1.5198997336151583,532.0,1.4234078015387928,532.0,1.6410979558803602,532.0,1.5261948923454585,532.0,1.4245299624091872,532.0,1.5673014636279226,532.0,1.5723958132735198,532.0,1.4312443943751831,532.0,1.5673014636279226,532.0,1.5723958132735198,532.0,1.4434732710134976,532.0,1.4841729780716186,532.0,1.46107884506298,532.0
476,6.664366758841972,1.7979979547594909,0.0666666666666666,0.0163470401734414,0.0,14.904701344537536,4.784948457296264,0.4614268541480854,0.4621328184400981,0.8543212761065525,0.8543212761065525,476,0.6759114856922513,457.0,0.5954751662104283,444.0,0.5623549488190352,339.0,0.7049913000308912,454.0,0.6154340999591067,444.0,0.5695891557650185,331.0,0.6668057194921513,443.0,0.6584293823850383,449.0,0.5904231563742074,320.0,0.6668057194921513,443.0,0.6584293823850383,449.0,0.6234957456685076,314.0,0.6777768014770608,329.0,0.6669903701818349,309.0
477,7.049687241230754,1.892943851164816,0.0166666666666666,0.002064051312901,0.0,14.810921580212426,4.694595866050145,0.4621398971167753,0.4592250978626513,0.8404708796405542,0.8404708796405542,477,0.7576623303084152,487.0,0.6698980009187271,482.0,0.6224086542462608,437.0,0.784007708176877,486.0,0.68803305788881,479.0,0.6293162571429053,436.0,0.7388224220911114,479.0,0.7327051580903303,481.0,0.64858641845206,424.0,0.7388224220911114,479.0,0.7327051580903303,481.0,0.6791682296781736,413.0,0.7330386943761051,442.0,0.7196224048787716,405.0
