,egypt_irr,egypt_low_had,sudan_irr,ethiopia_hydro,EgyptIncome,SudanIncome,EthiopiaUtility,pol_efficiency,poa_egypt,poa_sudan,poa_ethiopia,policy_name,total gains,ss_pi_Egypt,ss_pi_Sudan,ss_pi_Ethiopia,ss_fairness,dif_Egypt,dif_Sudan,dif_Ethiopia,totaldist,pd_egypt,pd_sudan,pd_ethiopia,avg_pd,rank_totaldist,rank_PI,rank_PD
38,18.50808786477252,0.0,0.5564741721708164,15.108116115955282,4.726783387630937,0.9416622729115894,1.0134758684680718,0.46221113526849955,0.37118389130167345,0.9415973629598842,0.9984672583326991,38,0.6320454220105985,-0.6312216946369601,0.7606044521014316,0.8706172425355285,2.5114148492466732,0.6096466123690627,-0.27005427291158945,-0.33966786846807184,0.7483131451207607,0.2177420939284691,-0.5135060486351127,-0.6666383379106142,-0.3208007642057526,557,557,1
262,18.39315055135085,0.0,0.6221247342317123,15.105740707427191,4.742632655493184,0.9306654809693184,1.0086233925480954,0.46436180605701083,0.3741614111299412,0.9349314218081625,0.9983102720067892,262,0.6320454220105975,-0.606145541388626,0.7432057153029142,0.8629398260857117,2.4474364817540812,0.5937973445068163,-0.25905748096931847,-0.33481539254809545,0.7292512679979725,0.2136725565985116,-0.5077576106907282,-0.6650345386631613,-0.3197065309184593,556,556,2
456,17.9976238705623,0.0,0.479418018629978,15.10043932826416,4.770311177147537,0.924919877894294,0.9866904739687667,0.47451740827836975,0.38457573208596946,0.949480219239664,0.9979599137306372,456,0.6320454220105978,-0.5623535595302567,0.734115224532888,0.8282383349973687,2.3313417655181774,0.566118822852463,-0.253311877894294,-0.3128824739687668,0.6946602562310644,0.20663052917270464,-0.5046998005460142,-0.6575886674561178,-0.3185526462764758,555,555,3
517,16.73737844353567,0.0,0.5978693114659166,15.114886787605252,4.89429096785612,0.858785828646835,0.9288447325076438,0.504551240581215,0.4195445453052296,0.9373888990739956,0.9989147194130569,517,0.6320454220105991,-0.36619710242913234,0.629480261689425,0.7367168407397076,1.824537857927614,0.4421390321438796,-0.18717782864683497,-0.2550367325076438,0.5436600024006235,0.1760647533633133,-0.4665573362780846,-0.6362642881250126,-0.3089189570132613,486,486,4
499,16.69782724173256,0.0,0.647029691410395,15.110204107233711,4.90139695805342,0.8531452610933182,0.92737930986386,0.5051919604764906,0.4206872244443549,0.9324146145027743,0.9986052497878344,499,0.632045422010598,-0.35495425508013306,0.6205559544211706,0.7343983006589625,1.7963584995763662,0.4350330419465802,-0.18153726109331825,-0.25357130986386,0.5352643589261593,0.17435970790784205,-0.4630304815701356,-0.6356895216374869,-0.30812009843326016,476,476,5
141,16.30972875088899,0.0,0.6299564847974933,15.102277568865196,4.935197774604813,0.837983819302545,0.9087399351032406,0.5152836192034022,0.4320499048048995,0.9341392663074671,0.9980813996286131,141,0.6320454220105984,-0.3014757939216463,0.596568055351285,0.7049077385703613,1.6572694666143066,0.4012322253951872,-0.16637581930254497,-0.23493193510324062,0.4938230716314505,0.16631660226847012,-0.4533152198794387,-0.6282170652469268,-0.3050718942859651,414,414,6
422,16.196531546942158,0.0,0.688221009305264,15.119329145111315,4.948314788403654,0.8284742931371035,0.9051324474698408,0.517921440592209,0.4354158413098958,0.9282663036900068,0.999208306547652,422,0.6320454220105987,-0.2807225167962223,0.5815224180690928,0.6992000987271295,1.6050993878760622,0.38811521159634577,-0.15686629313710354,-0.23132444746984082,0.478279679050113,0.1632249252794422,-0.4470401751811661,-0.6267352905705466,-0.30351684682409014,392,392,7
390,15.833207442205964,0.0,0.6818253125841005,15.107431589139534,4.980150919954117,0.8138883793391793,0.887882229717302,0.5275684000929269,0.4463795544900503,0.9289092355421678,0.9984220192302373,390,0.6320454220105989,-0.23035251103114715,0.5584450991138742,0.6719074119172729,1.4743549444194648,0.3562790800458826,-0.14228037933917936,-0.21407422971730206,0.43932478310732415,0.1557888892357162,-0.4371304325883657,-0.6194833180662132,-0.30027495380628755,312,312,8
489,15.66443932949883,0.0,0.7039474315729298,15.107420918571336,4.996178003965377,0.8052162146315163,0.8805273104137061,0.5319747281125053,0.4515563149179576,0.9266872153153696,0.9984213140322566,489,0.6320454220105993,-0.20499502333623454,0.5447243056302725,0.6602707177059621,1.409316242823549,0.3402519960346231,-0.1336082146315163,-0.20671931041370617,0.41994695988956116,0.15208127000910765,-0.4310683370805666,-0.6163049163787286,-0.2984306611500625,255,254,9
389,13.398222049023191,0.0,0.6927012610889488,15.104864091805975,5.181662724476683,0.7171362625628778,0.7831225419710368,0.5980405043794135,0.5264810648703259,0.9278161784872541,0.9982523381129003,389,0.632045422010598,0.08847236690489903,0.40536730848844227,0.5061603246066586,0.6538863044618437,0.1547672755233167,-0.045528262562877786,-0.10931454197103685,0.19487278247934509,0.1108409416171181,-0.361191137702602,-0.5685809284078872,-0.2729770414977904,27,27,10
246,11.176331844492818,0.4833333333333333,0.5626816492091751,15.105879225718043,5.2547534295015135,0.6871870362153142,0.7399810632937709,0.6329492716829308,0.5650726175394216,0.9409651108313483,0.9983194264226697,246,0.6320454220105987,0.20411390543914137,0.35798269766048557,0.43790339690037294,0.35648376478673405,0.08167657049848653,-0.015579036215314201,-0.06617306329377093,0.10626684733948649,0.09538976038044789,-0.33335034589264156,-0.5434288568194443,-0.26046314744387933,20,20,11
304,10.377152075548208,0.4916666666666666,0.6129023714667614,15.102647516466655,5.319040129116613,0.6544565162585885,0.7084248836353971,0.6610020116851559,0.5973365150872684,0.9358650654354047,0.998105848776642,304,0.6320454220105984,0.3058260567756656,0.3061976220679647,0.38797632115636965,0.14196774082433958,0.01738987088338728,0.01715148374141151,-0.034616883635397167,0.042366373888963076,0.0821507189786812,-0.3000100256943723,-0.5230912863107694,-0.24698353100882017,1,1,12
479,10.634840536456377,0.0291666666666666,0.6819959932443346,15.109305209254847,5.37943741157294,0.6228794136517006,0.6796047037859572,0.689337048373422,0.6300158782403498,0.928892072182214,0.9985458432944249,479,0.6320454220105982,0.4013845093061785,0.2562374427719294,0.3423780479218922,0.21898505861426304,-0.04300741157294041,0.04872858634829935,-0.005796703785957202,0.06525116361023829,0.07000094240653176,-0.26452377465124266,-0.5028668899466477,-0.23246324073045288,2,2,13
