,egypt_irr,egypt_90,egypt_low_had,sudan_irr,sudan_90,ethiopia_hydro,EgyptIncome,SudanIncome,EthiopiaUtility,max_EgSu,max_EgEt,max_EtSu,grand_coalition
197,5.43252957195544,1.4763019860551212,0.2333333333333333,0.6151100914742604,0.0161511125016594,15.065311714897112,6.051406315101223,0.48193771184479384,0.5205143735759685,5863061581.47857,5897680505.938219,899606432.0297134,6330174259.723251
198,5.04646640907558,1.071174167280203,0.7083333333333334,0.3017750647099718,0.0,15.04163021117745,5.979461313087842,0.5260442035212981,0.548352883912845,5532983283.953613,5551956990.974282,913783119.5322807,5999361697.230088
199,5.4289147845881,1.4684220796901906,0.125,0.0,0.0,14.070030100167507,6.069504087372526,0.5064138715080775,0.4779404416413829,6002347919.077408,5976358021.761468,898496164.3550231,6438601052.59695
200,7.388086019448804,1.9280478273145565,0.0125,0.5204321689404455,0.0,15.064167258548547,5.98034557782168,0.5188671693171122,0.5546456533831936,5473105271.451267,5503234983.674153,904024674.6005007,5940182464.862961
201,4.877910108863044,1.3684195052969192,0.225,0.0,0.0,14.367131211552238,6.073978085351207,0.49899618545181357,0.4808841297189648,6088847243.969617,6072069216.840947,907708034.5422932,6534312247.676429
202,4.566278766359491,1.20182333859247,0.4041666666666667,0.0,0.0,14.276462609747892,6.0658539494124115,0.5046964283360824,0.4833080227734914,6017857369.985558,5998268086.493726,904896778.1791308,6460511117.329207
203,9.79217285660069,1.968087410193306,0.0,0.0803058587966069,0.0,15.00013445935824,5.826381279754986,0.6091890653220708,0.6182880554449302,4840997631.799492,4847842120.675326,923339116.2085047,5306089434.341661
204,4.734126247805171,1.2837172040186262,0.5291666666666667,0.0,0.0,14.727587800429363,6.023546506898348,0.5182964766916532,0.5120154169319847,5834346679.889689,5828744912.888106,918884294.66938,6290987943.723588
205,6.435262295847298,0.8565841045272212,0.7625,0.2829096827811171,0.0,14.994838882142696,5.8805512501126,0.5759840703968351,0.5973230800125506,5025457122.8959675,5042066383.520346,913245956.7965901,5490384731.606452
206,4.344790480559123,1.212226288228857,0.1833333333333333,0.0,0.0,13.559496402928977,6.1297066776519245,0.48396832437553655,0.44018339849452537,6316787739.864246,6274968315.276366,882666637.0830826,6737211346.111848
207,4.601554155302768,0.6450179903902903,0.7416666666666667,0.006771580450809,0.0,13.554206958062178,6.031727986753307,0.535191541764213,0.4869388720044669,5667674424.310885,5626029263.118576,882164366.3014158,6087934026.865438
208,4.177136198325467,1.0176318703962095,0.3375,0.0058433257542107,0.0,13.367447473652907,6.122334682042757,0.4909956204987562,0.44052809798047166,6222123388.800905,6174641237.166171,876420086.525084,6636592356.24608
209,4.762575272583057,1.1348390954493532,0.5625,0.0,0.0,14.303520011590098,6.029111903884483,0.5229802890917669,0.5017662075457352,5791153159.6239605,5772402813.664922,905735715.7119241,6234645844.500403
210,5.10163005238144,1.1283956327150246,0.7083333333333334,0.1760424748984309,0.0,15.027522558543652,5.970414671071513,0.5344089547088376,0.5490347747416353,5520349753.756893,5532762026.04304,919469714.96308,5986290747.381507
211,5.497879466908988,0.7486530551136577,0.4375,0.0110492624279482,0.0,12.134788791138334,6.075688328667396,0.5389553207165366,0.43921475113805486,5666374697.088348,5580932839.644474,837940551.0563183,6042624043.89457
212,4.989596041833204,1.3314908837317212,0.3125,0.615745633728124,0.008871582392085,15.06513773655429,6.06244166571714,0.4766182044493858,0.5147985303554597,5933277418.452461,5967920695.930496,899571290.3212278,6400384702.352093
213,4.734614193453254,1.2199985543757177,0.5083333333333333,0.1846003614107305,0.0,14.971220769131795,6.028428521615293,0.5065185547093227,0.5189113241973706,5845877007.122417,5856963035.112945,917304590.4586592,6310072316.347011
214,4.9363375792963495,1.098584716995162,0.6916666666666667,0.3029379609435321,0.0,15.043956334032108,5.989082053950807,0.521259110523323,0.5435172360478557,5587223235.43228,5606325324.395982,913798984.3857472,6053673772.107004
215,6.299383205421438,1.6241346389428457,0.0833333333333333,0.161373263557757,0.0,15.023552719152605,6.010313723376953,0.5152113440237427,0.5283333331212892,5753387545.404348,5764956865.553298,920066490.6725674,6219205450.815107
216,4.536604055743129,0.4801753359536992,0.4541666666666666,0.1241162392546401,0.0,10.937994306393591,6.165064238806293,0.5097471392403101,0.3790470224753824,5972100863.700428,5855160588.38646,795223726.9643373,6311242589.525613
217,4.140678236681131,0.9173142232389948,0.3375,0.1241056263936582,0.0,11.112155409340517,6.194777866021133,0.4893826448885271,0.369697889612325,6229335738.476421,6117794951.5405035,800624261.9489831,6573877475.982954
218,4.783338591494284,1.36210642332985,0.1,0.1241022099548791,0.0,11.165339185273048,6.194657713079716,0.4884451418003655,0.37075554564190494,6240306814.718609,6130414867.0893955,802273438.1742687,6586497559.991137
219,4.576297856257832,1.2101772922076637,0.5375,0.3413953578826033,0.0014836240248185,15.047412659614128,6.037644588137757,0.4963710360252254,0.5198427763590027,5864264080.129808,5885329913.402152,912049572.64852,6330821783.0902405
220,5.456305441772214,1.4952022091985724,0.1,0.0,0.0,14.058998114565924,6.072248496473623,0.5051943012085622,0.4764156028398,6018233156.380054,5991901203.059019,898154108.3499277,6454144233.894501
221,4.377664262885218,0.9899075197288656,0.2916666666666667,0.006340125666423,0.0,13.061187321864296,6.127549639216426,0.493582503458724,0.43272625784683694,6196482071.669168,6139528875.938084,866899422.7233317,6601455185.165292
222,4.43210384720659,1.3220579147473923,0.1791666666666666,0.0,0.0,13.66049983525695,6.123166293656257,0.48567029756982677,0.44502180929590274,6290046295.832129,6251358567.732145,885798333.5709801,6713601598.567627
223,5.15142431464233,1.3932624494024095,0.0166666666666666,0.0872270930184271,0.0,11.054120844564835,6.19060102336181,0.4937126392789053,0.3695447378812688,6199512491.807878,6084350263.545222,800646882.1565627,6542254818.754831
224,6.151709783353353,1.5584173080944657,0.075,0.5604055544539349,0.0966400107788371,15.057989142408951,6.036939644867971,0.49051911001778176,0.5263996456362328,5789473370.010061,5821297302.303657,901947339.1411312,6256359005.727425
225,10.013378493833075,3.024636573475735,0.1833333333333333,0.6808246177048252,0.1325265004574028,15.10034092429097,5.797652102435836,0.6009740201355631,0.6552322779505866,4572163336.160966,4610933786.616059,897627126.3143953,5040362124.545711
